,tradeMonth,tradeYear,averageTransactionCount,securitySubtype,tradeReportDate,productType
264,11,2022,53503,,2023-06-01,MBS
265,11,2022,142490,GD,2023-06-01,TBA
266,11,2022,34254,NGD,2023-06-01,TBA
267,11,2022,24267,,2023-06-01,ABS
268,10,2022,48894,,2023-06-01,MBS
269,10,2022,135619,GD,2023-06-01,TBA
270,10,2022,35280,NGD,2023-06-01,TBA
271,10,2022,38842,,2023-06-01,ABS
272,9,2022,48319,,2023-06-01,MBS
273,9,2022,132655,GD,2023-06-01,TBA
274,9,2022,35627,NGD,2023-06-01,TBA
275,9,2022,41436,,2023-06-01,ABS
276,8,2022,49485,,2023-06-01,MBS
277,8,2022,136833,GD,2023-06-01,TBA
278,8,2022,36320,NGD,2023-06-01,TBA
279,8,2022,31621,,2023-06-01,ABS
280,7,2022,47298,,2023-06-01,MBS
281,7,2022,137930,GD,2023-06-01,TBA
282,7,2022,31516,NGD,2023-06-01,TBA
283,7,2022,19777,,2023-06-01,ABS
284,6,2022,48714,,2023-06-01,MBS
285,6,2022,133840,GD,2023-06-01,TBA
286,6,2022,32007,NGD,2023-06-01,TBA
287,6,2022,21979,,2023-06-01,ABS
288,6,2023,49371,,2023-07-01,MBS
289,6,2023,153908,GD,2023-07-01,TBA
290,6,2023,30057,NGD,2023-07-01,TBA
291,6,2023,30988,,2023-07-01,ABS
292,5,2023,49691,,2023-07-01,MBS
293,5,2023,150545,GD,2023-07-01,TBA
294,5,2023,32579,NGD,2023-07-01,TBA
295,5,2023,26210,,2023-07-01,ABS
296,4,2023,45012,,2023-07-01,MBS
297,4,2023,142859,GD,2023-07-01,TBA
298,4,2023,29706,NGD,2023-07-01,TBA
299,4,2023,23588,,2023-07-01,ABS
300,3,2023,48623,,2023-07-01,MBS
301,3,2023,144589,GD,2023-07-01,TBA
302,3,2023,32495,NGD,2023-07-01,TBA
303,3,2023,28136,,2023-07-01,ABS
304,2,2023,51296,,2023-07-01,MBS
305,2,2023,141519,GD,2023-07-01,TBA
306,2,2023,30312,NGD,2023-07-01,TBA
307,2,2023,27051,,2023-07-01,ABS
308,1,2023,49726,,2023-07-01,MBS
309,1,2023,146365,GD,2023-07-01,TBA
310,1,2023,32282,NGD,2023-07-01,TBA
311,1,2023,21619,,2023-07-01,ABS
312,12,2022,48688,,2023-07-01,MBS
313,12,2022,138424,GD,2023-07-01,TBA
314,12,2022,28641,NGD,2023-07-01,TBA
315,12,2022,19370,,2023-07-01,ABS
316,11,2022,53503,,2023-07-01,MBS
317,11,2022,142491,GD,2023-07-01,TBA
318,11,2022,34254,NGD,2023-07-01,TBA
319,11,2022,24267,,2023-07-01,ABS
320,10,2022,48894,,2023-07-01,MBS
321,10,2022,135615,GD,2023-07-01,TBA
322,10,2022,35280,NGD,2023-07-01,TBA
323,10,2022,38842,,2023-07-01,ABS
324,9,2022,48319,,2023-07-01,MBS
325,9,2022,132650,GD,2023-07-01,TBA
326,9,2022,35627,NGD,2023-07-01,TBA
327,9,2022,41436,,2023-07-01,ABS
328,8,2022,49485,,2023-07-01,MBS
329,8,2022,136833,GD,2023-07-01,TBA
330,8,2022,36320,NGD,2023-07-01,TBA
331,8,2022,31621,,2023-07-01,ABS
332,7,2022,47298,,2023-07-01,MBS
333,7,2022,137930,GD,2023-07-01,TBA
334,7,2022,31516,NGD,2023-07-01,TBA
335,7,2022,19777,,2023-07-01,ABS
336,7,2023,49209,,2023-08-01,MBS
337,7,2023,150000,GD,2023-08-01,TBA
338,7,2023,30677,NGD,2023-08-01,TBA
339,7,2023,22070,,2023-08-01,ABS
340,6,2023,49377,,2023-08-01,MBS
341,6,2023,153922,GD,2023-08-01,TBA
342,6,2023,30185,NGD,2023-08-01,TBA
343,6,2023,30988,,2023-08-01,ABS
344,5,2023,49691,,2023-08-01,MBS
345,5,2023,150501,GD,2023-08-01,TBA
346,5,2023,32618,NGD,2023-08-01,TBA
347,5,2023,26210,,2023-08-01,ABS
348,4,2023,45012,,2023-08-01,MBS
349,4,2023,142859,GD,2023-08-01,TBA
350,4,2023,29594,NGD,2023-08-01,TBA
351,4,2023,23588,,2023-08-01,ABS
352,3,2023,48623,,2023-08-01,MBS
353,3,2023,144589,GD,2023-08-01,TBA
354,3,2023,32530,NGD,2023-08-01,TBA
355,3,2023,28136,,2023-08-01,ABS
356,2,2023,51296,,2023-08-01,MBS
357,2,2023,141519,GD,2023-08-01,TBA
358,2,2023,30312,NGD,2023-08-01,TBA
359,2,2023,27051,,2023-08-01,ABS
360,1,2023,49726,,2023-08-01,MBS
361,1,2023,146365,GD,2023-08-01,TBA
362,1,2023,32282,NGD,2023-08-01,TBA
363,1,2023,21619,,2023-08-01,ABS
364,12,2022,48688,,2023-08-01,MBS
365,12,2022,138424,GD,2023-08-01,TBA
366,12,2022,28641,NGD,2023-08-01,TBA
367,12,2022,19370,,2023-08-01,ABS
368,11,2022,53503,,2023-08-01,MBS
369,11,2022,142491,GD,2023-08-01,TBA
370,11,2022,34254,NGD,2023-08-01,TBA
371,11,2022,24267,,2023-08-01,ABS
372,10,2022,48894,,2023-08-01,MBS
373,10,2022,135615,GD,2023-08-01,TBA
374,10,2022,35342,NGD,2023-08-01,TBA
375,10,2022,38842,,2023-08-01,ABS
376,9,2022,48319,,2023-08-01,MBS
377,9,2022,132650,GD,2023-08-01,TBA
378,9,2022,35627,NGD,2023-08-01,TBA
379,9,2022,41436,,2023-08-01,ABS
380,8,2022,49485,,2023-08-01,MBS
381,8,2022,136833,GD,2023-08-01,TBA
382,8,2022,36320,NGD,2023-08-01,TBA
383,8,2022,31621,,2023-08-01,ABS
384,8,2023,47873,,2023-09-01,MBS
385,8,2023,154766,GD,2023-09-01,TBA
386,8,2023,32523,NGD,2023-09-01,TBA
387,8,2023,27518,,2023-09-01,ABS
388,7,2023,49188,,2023-09-01,MBS
389,7,2023,149953,GD,2023-09-01,TBA
390,7,2023,30712,NGD,2023-09-01,TBA
391,7,2023,22132,,2023-09-01,ABS
392,6,2023,49377,,2023-09-01,MBS
393,6,2023,153918,GD,2023-09-01,TBA
394,6,2023,30336,NGD,2023-09-01,TBA
395,6,2023,30988,,2023-09-01,ABS
396,5,2023,49691,,2023-09-01,MBS
397,5,2023,150501,GD,2023-09-01,TBA
398,5,2023,32618,NGD,2023-09-01,TBA
399,5,2023,26210,,2023-09-01,ABS
400,4,2023,45012,,2023-09-01,MBS
401,4,2023,142859,GD,2023-09-01,TBA
402,4,2023,29594,NGD,2023-09-01,TBA
403,4,2023,23588,,2023-09-01,ABS
404,3,2023,48623,,2023-09-01,MBS
405,3,2023,144589,GD,2023-09-01,TBA
406,3,2023,32530,NGD,2023-09-01,TBA
407,3,2023,28136,,2023-09-01,ABS
408,2,2023,51296,,2023-09-01,MBS
409,2,2023,141519,GD,2023-09-01,TBA
410,2,2023,30312,NGD,2023-09-01,TBA
411,2,2023,27051,,2023-09-01,ABS
412,1,2023,49726,,2023-09-01,MBS
413,1,2023,146365,GD,2023-09-01,TBA
414,1,2023,32282,NGD,2023-09-01,TBA
415,1,2023,21619,,2023-09-01,ABS
416,12,2022,48688,,2023-09-01,MBS
417,12,2022,138424,GD,2023-09-01,TBA
418,12,2022,28641,NGD,2023-09-01,TBA
419,12,2022,19370,,2023-09-01,ABS
420,11,2022,53503,,2023-09-01,MBS
421,11,2022,142491,GD,2023-09-01,TBA
422,11,2022,34254,NGD,2023-09-01,TBA
423,11,2022,24267,,2023-09-01,ABS
424,10,2022,48894,,2023-09-01,MBS
425,10,2022,135615,GD,2023-09-01,TBA
426,10,2022,35342,NGD,2023-09-01,TBA
427,10,2022,38842,,2023-09-01,ABS
428,9,2022,48319,,2023-09-01,MBS
429,9,2022,132650,GD,2023-09-01,TBA
430,9,2022,35627,NGD,2023-09-01,TBA
431,9,2022,41436,,2023-09-01,ABS
432,9,2023,48429,,2023-10-01,MBS
433,9,2023,160838,GD,2023-10-01,TBA
434,9,2023,27850,NGD,2023-10-01,TBA
435,9,2023,28535,,2023-10-01,ABS
436,8,2023,47931,,2023-10-01,MBS
437,8,2023,154804,GD,2023-10-01,TBA
438,8,2023,32105,NGD,2023-10-01,TBA
439,8,2023,27518,,2023-10-01,ABS
440,7,2023,49183,,2023-10-01,MBS
441,7,2023,149910,GD,2023-10-01,TBA
442,7,2023,30567,NGD,2023-10-01,TBA
443,7,2023,22132,,2023-10-01,ABS
444,6,2023,49377,,2023-10-01,MBS
445,6,2023,153918,GD,2023-10-01,TBA
446,6,2023,30359,NGD,2023-10-01,TBA
447,6,2023,30980,,2023-10-01,ABS
448,5,2023,49691,,2023-10-01,MBS
449,5,2023,150501,GD,2023-10-01,TBA
450,5,2023,32618,NGD,2023-10-01,TBA
451,5,2023,26210,,2023-10-01,ABS
452,4,2023,45012,,2023-10-01,MBS
453,4,2023,142859,GD,2023-10-01,TBA
454,4,2023,29594,NGD,2023-10-01,TBA
455,4,2023,23588,,2023-10-01,ABS
456,3,2023,48623,,2023-10-01,MBS
457,3,2023,144589,GD,2023-10-01,TBA
458,3,2023,32529,NGD,2023-10-01,TBA
459,3,2023,28136,,2023-10-01,ABS
460,2,2023,51296,,2023-10-01,MBS
461,2,2023,141519,GD,2023-10-01,TBA
462,2,2023,30312,NGD,2023-10-01,TBA
463,2,2023,27051,,2023-10-01,ABS
464,1,2023,49726,,2023-10-01,MBS
465,1,2023,146365,GD,2023-10-01,TBA
466,1,2023,32282,NGD,2023-10-01,TBA
467,1,2023,21619,,2023-10-01,ABS
468,12,2022,48688,,2023-10-01,MBS
469,12,2022,138424,GD,2023-10-01,TBA
470,12,2022,28641,NGD,2023-10-01,TBA
471,12,2022,19370,,2023-10-01,ABS
472,11,2022,53503,,2023-10-01,MBS
473,11,2022,142491,GD,2023-10-01,TBA
474,11,2022,34252,NGD,2023-10-01,TBA
475,11,2022,24267,,2023-10-01,ABS
476,10,2022,48894,,2023-10-01,MBS
477,10,2022,135615,GD,2023-10-01,TBA
478,10,2022,35342,NGD,2023-10-01,TBA
479,10,2022,38842,,2023-10-01,ABS
480,10,2023,52545,,2023-11-01,MBS
481,10,2023,161750,GD,2023-11-01,TBA
482,10,2023,56923,NGD,2023-11-01,TBA
483,10,2023,24639,,2023-11-01,ABS
484,9,2023,48449,,2023-11-01,MBS
485,9,2023,160807,GD,2023-11-01,TBA
486,9,2023,28090,NGD,2023-11-01,TBA
487,9,2023,28515,,2023-11-01,ABS
488,8,2023,47931,,2023-11-01,MBS
489,8,2023,154804,GD,2023-11-01,TBA
490,8,2023,32262,NGD,2023-11-01,TBA
491,8,2023,27518,,2023-11-01,ABS
492,7,2023,49183,,2023-11-01,MBS
493,7,2023,149910,GD,2023-11-01,TBA
494,7,2023,30694,NGD,2023-11-01,TBA
495,7,2023,22132,,2023-11-01,ABS
496,6,2023,49377,,2023-11-01,MBS
497,6,2023,153918,GD,2023-11-01,TBA
498,6,2023,30359,NGD,2023-11-01,TBA
499,6,2023,30980,,2023-11-01,ABS
500,5,2023,49691,,2023-11-01,MBS
501,5,2023,150501,GD,2023-11-01,TBA
502,5,2023,32618,NGD,2023-11-01,TBA
503,5,2023,26210,,2023-11-01,ABS
504,4,2023,45012,,2023-11-01,MBS
505,4,2023,142859,GD,2023-11-01,TBA
506,4,2023,29594,NGD,2023-11-01,TBA
507,4,2023,23588,,2023-11-01,ABS
508,3,2023,48623,,2023-11-01,MBS
509,3,2023,144589,GD,2023-11-01,TBA
510,3,2023,32529,NGD,2023-11-01,TBA
511,3,2023,28136,,2023-11-01,ABS
512,2,2023,51296,,2023-11-01,MBS
513,2,2023,141519,GD,2023-11-01,TBA
514,2,2023,30312,NGD,2023-11-01,TBA
515,2,2023,27051,,2023-11-01,ABS
516,1,2023,49726,,2023-11-01,MBS
517,1,2023,146365,GD,2023-11-01,TBA
518,1,2023,32282,NGD,2023-11-01,TBA
519,1,2023,21619,,2023-11-01,ABS
520,12,2022,48688,,2023-11-01,MBS
521,12,2022,138424,GD,2023-11-01,TBA
522,12,2022,28641,NGD,2023-11-01,TBA
523,12,2022,19370,,2023-11-01,ABS
524,11,2022,53503,,2023-11-01,MBS
525,11,2022,142491,GD,2023-11-01,TBA
526,11,2022,34251,NGD,2023-11-01,TBA
527,11,2022,24267,,2023-11-01,ABS
528,11,2023,47801,,2023-12-01,MBS
529,11,2023,158069,GD,2023-12-01,TBA
530,11,2023,30991,NGD,2023-12-01,TBA
531,11,2023,26769,,2023-12-01,ABS
532,10,2023,52552,,2023-12-01,MBS
533,10,2023,161727,GD,2023-12-01,TBA
534,10,2023,56900,NGD,2023-12-01,TBA
535,10,2023,24639,,2023-12-01,ABS
536,9,2023,48449,,2023-12-01,MBS
537,9,2023,160807,GD,2023-12-01,TBA
538,9,2023,28095,NGD,2023-12-01,TBA
539,9,2023,28515,,2023-12-01,ABS
540,8,2023,47931,,2023-12-01,MBS
541,8,2023,154804,GD,2023-12-01,TBA
542,8,2023,32262,NGD,2023-12-01,TBA
543,8,2023,27518,,2023-12-01,ABS
544,7,2023,49188,,2023-12-01,MBS
545,7,2023,149910,GD,2023-12-01,TBA
546,7,2023,30694,NGD,2023-12-01,TBA
547,7,2023,22132,,2023-12-01,ABS
548,6,2023,49382,,2023-12-01,MBS
549,6,2023,153918,GD,2023-12-01,TBA
550,6,2023,30359,NGD,2023-12-01,TBA
551,6,2023,30980,,2023-12-01,ABS
552,5,2023,49691,,2023-12-01,MBS
553,5,2023,150501,GD,2023-12-01,TBA
554,5,2023,32618,NGD,2023-12-01,TBA
555,5,2023,26210,,2023-12-01,ABS
556,4,2023,45012,,2023-12-01,MBS
557,4,2023,142859,GD,2023-12-01,TBA
558,4,2023,29594,NGD,2023-12-01,TBA
559,4,2023,23588,,2023-12-01,ABS
560,3,2023,48623,,2023-12-01,MBS
561,3,2023,144589,GD,2023-12-01,TBA
562,3,2023,32532,NGD,2023-12-01,TBA
563,3,2023,28136,,2023-12-01,ABS
564,2,2023,51296,,2023-12-01,MBS
565,2,2023,141519,GD,2023-12-01,TBA
566,2,2023,30311,NGD,2023-12-01,TBA
567,2,2023,27051,,2023-12-01,ABS
568,1,2023,49726,,2023-12-01,MBS
569,1,2023,146365,GD,2023-12-01,TBA
570,1,2023,32282,NGD,2023-12-01,TBA
571,1,2023,21619,,2023-12-01,ABS
572,12,2022,48688,,2023-12-01,MBS
573,12,2022,138424,GD,2023-12-01,TBA
574,12,2022,28641,NGD,2023-12-01,TBA
575,12,2022,19370,,2023-12-01,ABS
576,12,2023,46752,,2024-01-01,MBS
577,12,2023,159136,GD,2024-01-01,TBA
578,12,2023,31541,NGD,2024-01-01,TBA
579,12,2023,23730,,2024-01-01,ABS
580,11,2023,47802,,2024-01-01,MBS
581,11,2023,158089,GD,2024-01-01,TBA
582,11,2023,31218,NGD,2024-01-01,TBA
583,11,2023,26769,,2024-01-01,ABS
584,10,2023,52552,,2024-01-01,MBS
585,10,2023,161690,GD,2024-01-01,TBA
586,10,2023,57401,NGD,2024-01-01,TBA
587,10,2023,24639,,2024-01-01,ABS
588,9,2023,48449,,2024-01-01,MBS
589,9,2023,160807,GD,2024-01-01,TBA
590,9,2023,28095,NGD,2024-01-01,TBA
591,9,2023,28515,,2024-01-01,ABS
592,8,2023,47931,,2024-01-01,MBS
593,8,2023,154804,GD,2024-01-01,TBA
594,8,2023,32262,NGD,2024-01-01,TBA
595,8,2023,27518,,2024-01-01,ABS
